Name,Threads,Optimization,Time,N
var714,140,O3,0.000000,66
var714,140,O0,0.020000,66
var714_parallel,1,O0,0.021214,66
var714_parallel,1,O1,0.015089,66
var714_parallel,1,O3,0.011040,66
var714_parallel,1,Ofast,0.004806,66
var714_parallel,1,O2,0.015422,66
var714_parallel,2,Ofast,0.002680,66
var714_parallel,2,O1,0.007740,66
var714_parallel,2,O0,0.010464,66
var714_parallel,2,O3,0.006267,66
var714_parallel,2,O2,0.007941,66
var714_parallel,3,O1,0.006217,66
var714_parallel,3,Ofast,0.003729,66
var714_parallel,3,O2,0.006286,66
var714_parallel,3,O3,0.005232,66
var714_parallel,3,O0,0.010350,66
var714_parallel,4,Ofast,0.004204,66
var714_parallel,4,O3,0.005089,66
var714_parallel,4,O2,0.005852,66
var714_parallel,4,O1,0.005945,66
var714_parallel,4,O0,0.009141,66
var714_parallel,5,O2,0.007069,66
var714_parallel,5,O3,0.005457,66
var714_parallel,5,O1,0.005266,66
var714_parallel,5,Ofast,0.004252,66
var714_parallel,5,O0,0.007955,66
var714_parallel,6,O3,0.004595,66
var714_parallel,6,Ofast,0.004641,66
var714_parallel,6,O2,0.004951,66
var714_parallel,6,O1,0.005018,66
var714_parallel,6,O0,0.008636,66
var714_parallel,7,O0,0.008927,66
var714_parallel,7,O3,0.005189,66
var714_parallel,7,Ofast,0.004224,66
var714_parallel,7,O1,0.004946,66
var714_parallel,7,O2,0.006113,66
var714_parallel,8,O0,0.008342,66
var714_parallel,8,O1,0.006066,66
var714_parallel,8,O3,0.005084,66
var714_parallel,8,O2,0.005263,66
var714_parallel,8,Ofast,0.004619,66
var714_parallel,9,O2,0.005959,66
var714_parallel,9,Ofast,0.004723,66
var714_parallel,9,O1,0.006415,66
var714_parallel,9,O0,0.009184,66
var714_parallel,9,O3,0.005009,66
var714_parallel,10,Ofast,0.005126,66
var714_parallel,10,O0,0.006598,66
var714_parallel,10,O3,0.005142,66
var714_parallel,10,O2,0.005779,66
var714_parallel,10,O1,0.007675,66
var714_parallel,20,O0,0.007614,66
var714_parallel,20,Ofast,0.005631,66
var714_parallel,20,O2,0.006544,66
var714_parallel,20,O3,0.005837,66
var714_parallel,20,O1,0.006797,66
var714_parallel,40,O3,0.008071,66
var714_parallel,40,O0,0.010539,66
var714_parallel,40,O2,0.045821,66
var714_parallel,40,O1,0.010880,66
var714_parallel,40,Ofast,0.007827,66
var714_parallel,60,O0,0.448423,66
var714_parallel,60,O2,0.012668,66
var714_parallel,60,O1,0.023583,66
var714_parallel,60,O3,0.148428,66
var714_parallel,60,Ofast,0.010662,66
var714_parallel,80,O3,0.054714,66
var714_parallel,80,O0,0.145446,66
var714_parallel,80,O1,0.076070,66
var714_parallel,80,O2,0.075197,66
var714_parallel,80,Ofast,0.054106,66
var714_parallel,100,O1,0.274325,66
var714_parallel,100,O0,0.305374,66
var714_parallel,100,O3,0.090612,66
var714_parallel,100,Ofast,0.284966,66
var714_parallel,100,O2,0.341879,66
var714_parallel,120,O0,0.389489,66
var714_parallel,120,O3,0.324797,66
var714_parallel,120,Ofast,0.313543,66
var714_parallel,120,O2,0.647440,66
var714_parallel,120,O1,0.579655,66
var714_parallel,140,O2,0.607130,66
var714_parallel,140,O1,0.588614,66
var714_parallel,140,O0,0.603827,66
var714_parallel,140,O3,0.590245,66
var714_parallel,140,Ofast,0.607504,66
var714_parallel_task,1,O0,0.024751,66
var714_parallel_task,1,Ofast,0.008028,66
var714_parallel_task,1,O1,0.018683,66
var714_parallel_task,1,O2,0.018778,66
var714_parallel_task,1,O3,0.014304,66
var714_parallel_task,2,O1,0.012815,66
var714_parallel_task,2,O3,0.011796,66
var714_parallel_task,2,O2,0.012643,66
var714_parallel_task,2,O0,0.019447,66
var714_parallel_task,2,Ofast,0.011189,66
var714_parallel_task,3,Ofast,0.013654,66
var714_parallel_task,3,O3,0.015641,66
var714_parallel_task,3,O0,0.017521,66
var714_parallel_task,3,O1,0.015407,66
var714_parallel_task,3,O2,0.011389,66
var714_parallel_task,4,O1,0.019350,66
var714_parallel_task,4,O0,0.016537,66
var714_parallel_task,4,O3,0.012654,66
var714_parallel_task,4,Ofast,0.025170,66
var714_parallel_task,4,O2,0.022634,66
var714_parallel_task,5,O1,0.027415,66
var714_parallel_task,5,O0,0.017207,66
var714_parallel_task,5,O3,0.025335,66
var714_parallel_task,5,O2,0.027280,66
var714_parallel_task,5,Ofast,0.025843,66
var714_parallel_task,6,O1,0.031201,66
var714_parallel_task,6,O0,0.025644,66
var714_parallel_task,6,O3,0.024636,66
var714_parallel_task,6,O2,0.031365,66
var714_parallel_task,6,Ofast,0.032978,66
var714_parallel_task,7,O0,0.028014,66
var714_parallel_task,7,O1,0.023281,66
var714_parallel_task,7,O2,0.033281,66
var714_parallel_task,7,O3,0.035151,66
var714_parallel_task,7,Ofast,0.031122,66
var714_parallel_task,8,Ofast,0.033878,66
var714_parallel_task,8,O3,0.032711,66
var714_parallel_task,8,O1,0.039902,66
var714_parallel_task,8,O2,0.033582,66
var714_parallel_task,8,O0,0.036683,66
var714_parallel_task,9,O1,0.044366,66
var714_parallel_task,9,O0,0.042492,66
var714_parallel_task,9,Ofast,0.044239,66
var714_parallel_task,9,O2,0.045223,66
var714_parallel_task,9,O3,0.043672,66
var714_parallel_task,10,Ofast,0.045095,66
var714_parallel_task,10,O3,0.038350,66
var714_parallel_task,10,O2,0.041001,66
var714_parallel_task,10,O1,0.042892,66
var714_parallel_task,10,O0,0.048715,66
var714_parallel_task,20,O1,0.089559,66
var714_parallel_task,20,O3,0.100419,66
var714_parallel_task,20,O0,0.098117,66
var714_parallel_task,20,O2,0.101163,66
var714_parallel_task,20,Ofast,0.090553,66
var714_parallel_task,40,O0,0.219038,66
var714_parallel_task,40,O2,0.212855,66
var714_parallel_task,40,O3,0.258160,66
var714_parallel_task,40,Ofast,0.387968,66
var714_parallel_task,40,O1,0.234337,66
var714_parallel_task,60,O3,0.361324,66
var714_parallel_task,60,O1,0.370214,66
var714_parallel_task,60,Ofast,0.641418,66
var714_parallel_task,60,O0,0.387234,66
var714_parallel_task,60,O2,0.297130,66
var714_parallel_task,80,O0,0.452439,66
var714_parallel_task,80,O3,0.427605,66
var714_parallel_task,80,Ofast,0.480726,66
var714_parallel_task,80,O2,0.430390,66
var714_parallel_task,80,O1,0.451860,66
var714_parallel_task,100,O1,0.962170,66
var714_parallel_task,100,O0,0.895741,66
var714_parallel_task,100,Ofast,0.839999,66
var714_parallel_task,100,O2,0.873359,66
var714_parallel_task,100,O3,0.852895,66
var714_parallel_task,120,O0,1.141974,66
var714_parallel_task,120,Ofast,1.117535,66
var714_parallel_task,120,O2,1.097998,66
var714_parallel_task,120,O3,1.099481,66
var714_parallel_task,120,O1,1.129277,66
var714_parallel_task,140,O3,1.280863,66
var714_parallel_task,140,O1,1.284440,66
var714_parallel_task,140,Ofast,1.340380,66
var714_parallel_task,140,O2,1.291548,66
var714_parallel_task,140,O0,1.197181,66
var714,1,O0,119.610000,4096
var714,1,O3,35.610000,4096
var714,1,O2,46.950000,4096
var714,1,O1,47.830000,4096
var714,1,Ofast,25.800000,4096
var714,2,Ofast,23.260000,4096
var714,2,O1,47.060000,4096
var714,2,O2,46.490000,4096
var714,2,O0,112.330000,4096
var714,2,O3,36.450000,4096
var714,3,Ofast,26.970000,4096
var714,3,O2,47.480000,4096
var714,3,O0,120.730000,4096
var714,3,O3,37.390000,4096
var714,3,O1,47.710000,4096
var714,4,Ofast,24.700000,4096
var714,4,O1,47.800000,4096
var714,4,O0,117.460000,4096
var714,4,O2,47.030000,4096
var714,4,O3,37.180000,4096
var714,5,O1,48.710000,4096
var714,5,O2,47.790000,4096
var714,5,Ofast,24.690000,4096
var714,5,O0,125.300000,4096
var714,5,O3,37.410000,4096
var714,6,O3,38.120000,4096
var714,6,O0,128.760000,4096
var714,6,Ofast,24.990000,4096
var714,6,O1,48.250000,4096
var714,6,O2,47.370000,4096
var714,7,O3,37.930000,4096
var714,7,O1,49.710000,4096
var714,7,O0,115.800000,4096
var714,7,O2,47.830000,4096
var714,7,Ofast,24.230000,4096
var714,8,O0,127.070000,4096
var714,8,O2,50.030000,4096
var714,8,O3,39.590000,4096
var714,8,Ofast,21.730000,4096
var714,8,O1,47.140000,4096
var714,9,O0,138.560000,4096
var714,9,Ofast,23.500000,4096
var714,9,O2,45.860000,4096
var714,9,O3,42.820000,4096
var714,9,O1,59.560000,4096
var714,10,O2,50.630000,4096
var714,10,Ofast,32.690000,4096
var714,10,O3,39.020000,4096
var714,10,O1,55.610000,4096
var714,10,O0,112.930000,4096
var714,20,Ofast,26.700000,4096
var714,20,O3,44.550000,4096
var714,20,O0,136.740000,4096
var714,20,O2,52.360000,4096
var714,20,O1,57.320000,4096
var714,40,Ofast,26.680000,4096
var714,40,O0,129.150000,4096
var714,40,O2,56.310000,4096
var714,40,O1,53.260000,4096
var714,40,O3,48.570000,4096
var714,60,O2,51.730000,4096
var714,60,O0,129.340000,4096
var714,60,O3,40.530000,4096
var714,60,O1,55.340000,4096
var714,60,Ofast,25.280000,4096
var714,80,O1,50.610000,4096
var714,80,O2,46.770000,4096
var714,80,O0,128.520000,4096
var714,80,O3,37.510000,4096
var714,80,Ofast,26.050000,4096
var714,100,O0,110.790000,4096
var714,100,Ofast,24.560000,4096
var714,100,O3,36.080000,4096
var714,100,O1,47.820000,4096
var714,100,O2,47.540000,4096
var714,120,O3,36.940000,4096
var714,120,Ofast,22.210000,4096
var714,120,O2,46.290000,4096
var714,120,O0,115.410000,4096
var714,120,O1,48.670000,4096
var714,140,O2,47.080000,4096
var714,140,O1,49.220000,4096
var714,140,Ofast,24.640000,4096
var714,140,O3,36.120000,4096
var714,140,O0,121.670000,4096
var714_parallel,1,O0,82.800348,4096
var714_parallel,1,O1,68.123900,4096
var714_parallel,1,O3,47.880040,4096
var714_parallel,1,Ofast,22.867587,4096
var714_parallel,1,O2,68.089316,4096
var714_parallel,2,Ofast,11.463655,4096
var714_parallel,2,O1,34.072071,4096
var714_parallel,2,O0,40.754240,4096
var714_parallel,2,O3,23.996607,4096
var714_parallel,2,O2,34.109005,4096
var714_parallel,3,O1,22.763379,4096
var714_parallel,3,Ofast,7.955580,4096
var714_parallel,3,O2,22.841055,4096
var714_parallel,3,O3,16.130699,4096
var714_parallel,3,O0,27.245504,4096
var714_parallel,4,Ofast,6.041814,4096
var714_parallel,4,O3,12.332254,4096
var714_parallel,4,O2,17.171616,4096
var714_parallel,4,O1,17.124554,4096
var714_parallel,4,O0,21.850954,4096
var714_parallel,5,O2,15.544706,4096
var714_parallel,5,O3,9.744451,4096
var714_parallel,5,O1,13.898403,4096
var714_parallel,5,Ofast,4.945361,4096
var714_parallel,5,O0,19.757040,4096
var714_parallel,6,O3,8.644297,4096
var714_parallel,6,Ofast,4.066876,4096
var714_parallel,6,O2,11.514632,4096
var714_parallel,6,O1,12.311092,4096
var714_parallel,6,O0,20.381111,4096
